Martian (2015) 86
Black-Panther (2018) 97
Avengers:-Endgame (2019) 94
Us (2019) 93
Toy-Story-4 (2019) 97 
Lady-Bird (2017) 99
Mission:-Impossible-Fallout (2018) 97
The-Wizard-of-Oz (1939) 98
The-Irishman (2019) 96
Citizen-Kane (1941) 100
BlacKkKlansman (2018) 96
Get-Out (2017) 98
Casablanca (1942) 99
Spider-Man:-Into-the-Spider-Verse (2018) 97
Mad-Max:-Fury-Road (2015) 97
a 12
10012
